"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1271","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Wed Nov 05 11:17:19 UTC 2025","passed","Wed Nov 05 11:17:20 UTC 2025","Home page tests","","",""
"","2688","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Wed Nov 05 11:17:09 UTC 2025","passed","Wed Nov 05 11:17:12 UTC 2025","Home page tests","","",""
"","1302","The search field should have a placeholder when loading the Home page","Automated UI tests","Wed Nov 05 11:17:18 UTC 2025","passed","Wed Nov 05 11:17:19 UTC 2025","Home page tests","","",""
"","986","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Wed Nov 05 11:17:20 UTC 2025","passed","Wed Nov 05 11:17:21 UTC 2025","Home page tests","","",""
"","2467","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Wed Nov 05 11:17:22 UTC 2025","passed","Wed Nov 05 11:17:25 UTC 2025","Home page tests","","",""
"","1045","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Wed Nov 05 11:17:12 UTC 2025","passed","Wed Nov 05 11:17:13 UTC 2025","Home page tests","","",""
"","5048","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Wed Nov 05 11:17:13 UTC 2025","passed","Wed Nov 05 11:17:18 UTC 2025","Home page tests","","",""
"","943","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Wed Nov 05 11:17:21 UTC 2025","passed","Wed Nov 05 11:17:22 UTC 2025","Home page tests","","",""
