"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1948","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","2408","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","1881","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","1335","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","1828","The search field should have a placeholder when loading the Home page","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","1590","The ""Home Page"" title should be visible on the Home page","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","5738","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
"","1006","The search field should be empty after clicking on the Search Reset button","Automated UI tests","2026-01-12","passed","2026-01-12","Home page tests","","",""
