"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2911","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Wed Nov 05 01:37:54 UTC 2025","passed","Wed Nov 05 01:37:57 UTC 2025","Home page tests","","",""
"","1419","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Wed Nov 05 01:37:51 UTC 2025","passed","Wed Nov 05 01:37:53 UTC 2025","Home page tests","","",""
"","977","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Wed Nov 05 01:37:50 UTC 2025","passed","Wed Nov 05 01:37:51 UTC 2025","Home page tests","","",""
"","1586","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Wed Nov 05 01:37:40 UTC 2025","passed","Wed Nov 05 01:37:41 UTC 2025","Home page tests","","",""
"","1096","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Wed Nov 05 01:37:53 UTC 2025","passed","Wed Nov 05 01:37:54 UTC 2025","Home page tests","","",""
"","1293","The search field should have a placeholder when loading the Home page","Automated UI tests","Wed Nov 05 01:37:49 UTC 2025","passed","Wed Nov 05 01:37:50 UTC 2025","Home page tests","","",""
"","5477","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Wed Nov 05 01:37:43 UTC 2025","passed","Wed Nov 05 01:37:49 UTC 2025","Home page tests","","",""
"","1972","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Wed Nov 05 01:37:41 UTC 2025","passed","Wed Nov 05 01:37:43 UTC 2025","Home page tests","","",""
