"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2542","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Wed Nov 05 13:11:08 UTC 2025","passed","Wed Nov 05 13:11:10 UTC 2025","Home page tests","","",""
"","1404","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Wed Nov 05 13:11:06 UTC 2025","passed","Wed Nov 05 13:11:08 UTC 2025","Home page tests","","",""
"","1273","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Wed Nov 05 13:11:04 UTC 2025","passed","Wed Nov 05 13:11:05 UTC 2025","Home page tests","","",""
"","1088","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Wed Nov 05 13:11:05 UTC 2025","passed","Wed Nov 05 13:11:06 UTC 2025","Home page tests","","",""
"","1499","The search field should have a placeholder when loading the Home page","Automated UI tests","Wed Nov 05 13:11:02 UTC 2025","passed","Wed Nov 05 13:11:04 UTC 2025","Home page tests","","",""
"","1664","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Wed Nov 05 13:10:55 UTC 2025","passed","Wed Nov 05 13:10:57 UTC 2025","Home page tests","","",""
"","5166","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Wed Nov 05 13:10:57 UTC 2025","passed","Wed Nov 05 13:11:02 UTC 2025","Home page tests","","",""
"","1272","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Wed Nov 05 13:10:54 UTC 2025","passed","Wed Nov 05 13:10:55 UTC 2025","Home page tests","","",""
