"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1253","The search field should have a placeholder when loading the Home page","Automated UI tests","Wed Nov 05 10:36:39 UTC 2025","passed","Wed Nov 05 10:36:41 UTC 2025","Home page tests","","",""
"","3932","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Wed Nov 05 10:36:35 UTC 2025","passed","Wed Nov 05 10:36:39 UTC 2025","Home page tests","","",""
"","2710","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Wed Nov 05 10:36:44 UTC 2025","passed","Wed Nov 05 10:36:47 UTC 2025","Home page tests","","",""
"","1193","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Wed Nov 05 10:36:34 UTC 2025","passed","Wed Nov 05 10:36:35 UTC 2025","Home page tests","","",""
"","1223","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Wed Nov 05 10:36:42 UTC 2025","passed","Wed Nov 05 10:36:43 UTC 2025","Home page tests","","",""
"","1137","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Wed Nov 05 10:36:33 UTC 2025","passed","Wed Nov 05 10:36:34 UTC 2025","Home page tests","","",""
"","1041","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Wed Nov 05 10:36:41 UTC 2025","passed","Wed Nov 05 10:36:42 UTC 2025","Home page tests","","",""
"","1267","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Wed Nov 05 10:36:43 UTC 2025","passed","Wed Nov 05 10:36:44 UTC 2025","Home page tests","","",""
