"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1661","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Mon Dec 08 10:25:42 UTC 2025","passed","Mon Dec 08 10:25:43 UTC 2025","Home page tests","","",""
"","1841","The search field should have a placeholder when loading the Home page","Automated UI tests","Mon Dec 08 10:25:34 UTC 2025","passed","Mon Dec 08 10:25:35 UTC 2025","Home page tests","","",""
"","1933","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Mon Dec 08 10:25:24 UTC 2025","passed","Mon Dec 08 10:25:26 UTC 2025","Home page tests","","",""
"","3534","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Mon Dec 08 10:25:43 UTC 2025","passed","Mon Dec 08 10:25:47 UTC 2025","Home page tests","","",""
"","5264","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Mon Dec 08 10:25:28 UTC 2025","passed","Mon Dec 08 10:25:34 UTC 2025","Home page tests","","",""
"","2031","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Mon Dec 08 10:25:26 UTC 2025","passed","Mon Dec 08 10:25:28 UTC 2025","Home page tests","","",""
"","1515","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Mon Dec 08 10:25:40 UTC 2025","passed","Mon Dec 08 10:25:41 UTC 2025","Home page tests","","",""
"","1890","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Mon Dec 08 10:25:35 UTC 2025","passed","Mon Dec 08 10:25:37 UTC 2025","Home page tests","","",""
