"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1186","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Wed Nov 05 12:57:16 UTC 2025","passed","Wed Nov 05 12:57:17 UTC 2025","Home page tests","","",""
"","1187","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Wed Nov 05 12:57:14 UTC 2025","passed","Wed Nov 05 12:57:16 UTC 2025","Home page tests","","",""
"","1474","The search field should have a placeholder when loading the Home page","Automated UI tests","Wed Nov 05 12:57:21 UTC 2025","passed","Wed Nov 05 12:57:23 UTC 2025","Home page tests","","",""
"","1246","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Wed Nov 05 12:57:24 UTC 2025","passed","Wed Nov 05 12:57:25 UTC 2025","Home page tests","","",""
"","2339","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Wed Nov 05 12:57:26 UTC 2025","passed","Wed Nov 05 12:57:28 UTC 2025","Home page tests","","",""
"","1015","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Wed Nov 05 12:57:25 UTC 2025","passed","Wed Nov 05 12:57:26 UTC 2025","Home page tests","","",""
"","4141","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Wed Nov 05 12:57:17 UTC 2025","passed","Wed Nov 05 12:57:21 UTC 2025","Home page tests","","",""
"","1178","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Wed Nov 05 12:57:23 UTC 2025","passed","Wed Nov 05 12:57:24 UTC 2025","Home page tests","","",""
