"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1367","The search field should have a placeholder when loading the Home page","Automated UI tests","Mon Nov 17 10:24:48 UTC 2025","passed","Mon Nov 17 10:24:49 UTC 2025","Home page tests","","",""
"","4432","The item price values should be between the selected min and max price set on the Price Range slider","Automated UI tests","Mon Nov 17 10:24:43 UTC 2025","passed","Mon Nov 17 10:24:48 UTC 2025","Home page tests","","",""
"","1404","The text in the Search field should match the input text after typing in the Search field","Automated UI tests","Mon Nov 17 10:24:49 UTC 2025","passed","Mon Nov 17 10:24:50 UTC 2025","Home page tests","","",""
"","2546","The ""Home Page"" title should be visible on the Home page","Automated UI tests","Mon Nov 17 10:24:39 UTC 2025","passed","Mon Nov 17 10:24:42 UTC 2025","Home page tests","","",""
"","2263","The search field should be empty after clicking on the Search Reset button","Automated UI tests","Mon Nov 17 10:24:52 UTC 2025","passed","Mon Nov 17 10:24:54 UTC 2025","Home page tests","","",""
"","1282","The items in the Sort dropdown should be visible when clicking on the Sort dropdown button","Automated UI tests","Mon Nov 17 10:24:42 UTC 2025","passed","Mon Nov 17 10:24:43 UTC 2025","Home page tests","","",""
"","2478","The item names on the main page should contain the text from the Search field after performing a search","Automated UI tests","Mon Nov 17 10:24:54 UTC 2025","passed","Mon Nov 17 10:24:57 UTC 2025","Home page tests","","",""
"","1446","The count of items on the main page should match the expected count and item names after searching for a specific term","Automated UI tests","Mon Nov 17 10:24:50 UTC 2025","passed","Mon Nov 17 10:24:52 UTC 2025","Home page tests","","",""
